provinsi,tahun,upah,ump,daerah_x,jenis_x,peng,jenis_y,daerah_y,periode,gk,Cluster
ACEH,2015,11226,1900000.0,PERDESAAN,MAKANAN,395136.0,MAKANAN,PERKOTAAN,MARET,293697.0,0
ACEH,2015,11226,1900000.0,PERDESAAN,MAKANAN,395136.0,MAKANAN,PERKOTAAN,SEPTEMBER,302128.0,0
ACEH,2015,11226,1900000.0,PERDESAAN,MAKANAN,395136.0,MAKANAN,PERDESAAN,MARET,297479.0,0
ACEH,2015,11226,1900000.0,PERDESAAN,MAKANAN,395136.0,MAKANAN,PERDESAAN,SEPTEMBER,306737.0,0
ACEH,2015,11226,1900000.0,PERDESAAN,MAKANAN,395136.0,MAKANAN,PERDESAANPERKOTAAN,MARET,296406.0,0
ACEH,2015,11226,1900000.0,PERDESAAN,MAKANAN,395136.0,MAKANAN,PERDESAANPERKOTAAN,SEPTEMBER,305428.0,0
ACEH,2015,11226,1900000.0,PERKOTAAN,MAKANAN,466355.0,MAKANAN,PERKOTAAN,MARET,293697.0,0
ACEH,2015,11226,1900000.0,PERKOTAAN,MAKANAN,466355.0,MAKANAN,PERKOTAAN,SEPTEMBER,302128.0,0
ACEH,2015,11226,1900000.0,PERKOTAAN,MAKANAN,466355.0,MAKANAN,PERDESAAN,MARET,297479.0,0
ACEH,2015,11226,1900000.0,PERKOTAAN,MAKANAN,466355.0,MAKANAN,PERDESAAN,SEPTEMBER,306737.0,0
ACEH,2015,11226,1900000.0,PERKOTAAN,MAKANAN,466355.0,MAKANAN,PERDESAANPERKOTAAN,MARET,296406.0,0
ACEH,2015,11226,1900000.0,PERKOTAAN,MAKANAN,466355.0,MAKANAN,PERDESAANPERKOTAAN,SEPTEMBER,305428.0,0
ACEH,2015,11226,1900000.0,PERDESAANPERKOTAAN,MAKANAN,415354.0,MAKANAN,PERKOTAAN,MARET,293697.0,0
ACEH,2015,11226,1900000.0,PERDESAANPERKOTAAN,MAKANAN,415354.0,MAKANAN,PERKOTAAN,SEPTEMBER,302128.0,0
ACEH,2015,11226,1900000.0,PERDESAANPERKOTAAN,MAKANAN,415354.0,MAKANAN,PERDESAAN,MARET,297479.0,0
ACEH,2015,11226,1900000.0,PERDESAANPERKOTAAN,MAKANAN,415354.0,MAKANAN,PERDESAAN,SEPTEMBER,306737.0,0
ACEH,2015,11226,1900000.0,PERDESAANPERKOTAAN,MAKANAN,415354.0,MAKANAN,PERDESAANPERKOTAAN,MARET,296406.0,0
ACEH,2015,11226,1900000.0,PERDESAANPERKOTAAN,MAKANAN,415354.0,MAKANAN,PERDESAANPERKOTAAN,SEPTEMBER,305428.0,0
ACEH,2016,13627,2118500.0,PERDESAAN,MAKANAN,412251.0,MAKANAN,PERKOTAAN,MARET,306243.0,0
